TEXT	SONNET NUMBER	LINE
In all external grace you have some part	53	13
But you like none none you for constant heart	53	14
O how much more doth beauty beauteous seem	54	1
By that sweet ornament which truth doth give	54	2
The rose looks fair but fairer we it deem	54	3
For that sweet odour which doth in it live	54	4
The canker blooms have full as deep a dye	54	5
As the perfumed tincture of the roses	54	6
Hang on such thorns and play as wantonly	54	7
When summer's breath their masked buds discloses	54	8
But for their virtue only is their show	54	9
They live unwoo'd and unrespected fade	54	10
Die to themselves Sweet roses do not so	54	11
Of their sweet deaths are sweetest odours made	54	12
And so of you beauteous and lovely youth	54	13
When that shall vade by verse distills your truth	54	14
Not marble nor the gilded monuments	55	1
Of princes shall outlive this powerful rhyme	55	2
But you shall shine more bright in these contents	55	3
Than unswept stone besmear'd with sluttish time	55	4
When wasteful war shall statues overturn	55	5
And broils root out the work of masonry	55	6
Nor Mars his sword nor war's quick fire shall burn	55	7
The living record of your memory	55	8
Gainst death and all-oblivious enmity	55	9
Shall you pace forth your praise shall still find room	55	10
Even in the eyes of all posterity	55	11
That wear this world out to the ending doom	55	12
So till the judgment that yourself arise	55	13
You live in this and dwell in lovers eyes	55	14
Sweet love renew thy force be it not said	56	1
Thy edge should blunter be than appetite	56	2
Which but to-day by feeding is allay'd	56	3
To-morrow sharpened in his former might	56	4
So love be thou although to-day thou fill	56	5
Thy hungry eyes even till they wink with fulness	56	6
To-morrow see again and do not kill	56	7
The spirit of love with a perpetual dulness	56	8
Let this sad interim like the ocean be	56	9
Which parts the shore where two contracted new	56	10
Come daily to the banks that when they see	56	11
Return of love more blest may be the view	56	12
Or call it winter which being full of care	56	13
Makes summer's welcome thrice more wished more rare	56	14
Being your slave what should I do but tend	57	1
Upon the hours and times of your desire	57	2
I have no precious time at all to spend	57	3
Nor services to do till you require	57	4
Nor dare I chide the world-without-end hour	57	5
Whilst I my sovereign watch the clock for you	57	6
Nor think the bitterness of absence sour	57	7
When you have bid your servant once adieu	57	8
Nor dare I question with my jealous thought	57	9
Where you may be or your affairs suppose	57	10
But like a sad slave stay and think of nought	57	11
Save where you are how happy you make those	57	12
So true a fool is love that in your will	57	13
Though you do anything he thinks no ill	57	14
That god forbid that made me first your slave	58	1
I should in thought control your times of pleasure	58	2
Or at your hand the account of hours to crave	58	3
Being your vassal bound to stay your leisure	58	4
O let me suffer being at your beck	58	5
The imprison'd absence of your liberty	58	6
And patience tame to sufferance bide each check	58	7
Without accusing you of injury	58	8
Be where you list your charter is so strong	58	9
That you yourself may privilage your time	58	10
To what you will to you it doth belong	58	11
Yourself to pardon of self-doing crime	58	12
I am to wait though waiting so be hell	58	13
Not blame your pleasure be it ill or well	58	14
If there be nothing new but that which is	59	1
Hath been before how are our brains beguil'd	59	2
Which labouring for invention bear amiss	59	3
The second burthen of a former child	59	4
O that record could with a backward look	59	5
Even of five hundred courses of the sun	59	6
Show me your image in some antique book	59	7
Since mind at first in character was done	59	8
That I might see what the old world could say	59	9
To this composed wonder of your frame	59	10
Wh'r we are mended or wh'r better they	59	11
Or whether revolution be the same	59	12
O sure I am the wits of former days	59	13
To subjects worse have given admiring praise	59	14
Like as the waves make towards the pebbled shore	60	1
So do our minutes hasten to their end	60	2
Each changing place with that which goes before	60	3
In sequent toil all forwards do contend	60	4
Nativity once in the main of light	60	5
Crawls to maturity wherewith being crown'd	60	6
Crooked eclipses gainst his glory fight	60	7
And Time that gave doth now his gift confound	60	8
Time doth transfix the flourish set on youth	60	9
And delves the parallels in beauty's brow	60	10
Feeds on the rarities of nature's truth	60	11
And nothing stands but for his scythe to mow	60	12
And yet to times in hope my verse shall stand	60	13
Praising thy worth despite his cruel hand	60	14
Is it thy will thy image should keep open	61	1
My heavy eyelids to the weary night	61	2
Dost thou desire my slumbers should be broken	61	3
While shadows like to thee do mock my sight	61	4
Is it thy spirit that thou send'st from thee	61	5
So far from home into my deeds to pry	61	6
To find out shames and idle hours in me	61	7
The scope and tenure of thy jealousy	61	8
O no thy love though much is not so great	61	9
It is my love that keeps mine eye awake	61	10
Mine own true love that doth my rest defeat	61	11
To play the watchman ever for thy sake	61	12
For thee watch I whilst thou dost wake elsewhere	61	13
From me far off with others all too near	61	14
Sin of self-love possesseth all mine eye	62	1
And all my soul and all my every part	62	2
And for this sin there is no remedy	62	3
It is so grounded inward in my heart	62	4
Methinks no face so gracious is as mine	62	5
No shape so true no truth of such account	62	6
And for myself mine own worth do define	62	7
As I all other in all worths surmount	62	8
But when my glass shows me myself indeed	62	9
Beated and chopp'd with tanned antiquity	62	10
Mine own self-love quite contrary I read	62	11
Self so self-loving were iniquity	62	12
Tis thee,--myself,--that for myself I praise	62	13
Painting my age with beauty of thy days	62	14
Against my love shall be as I am now	63	1
With Time's injurious hand crush'd and o'erworn	63	2
When hours have drain'd his blood and fill'd his brow	63	3
With lines and wrinkles when his youthful morn	63	4
Hath travell'd on to age's steepy night	63	5
And all those beauties whereof now he's king	63	6
Are vanishing or vanished out of sight	63	7
Stealing away the treasure of his spring	63	8
For such a time do I now fortify	63	9
Against confounding age's cruel knife	63	10
That he shall never cut from memory	63	11
My sweet love's beauty though my lover's life	63	12
His beauty shall in these black lines be seen	63	13
And they shall live and he in them still green	63	14
When I have seen by Time's fell hand defac'd	64	1
The rich-proud cost of outworn buried age	64	2
When sometime lofty towers I see down-raz'd	64	3
And brass eternal slave to mortal rage	64	4
When I have seen the hungry ocean gain	64	5
Advantage on the kingdom of the shore	64	6
And the firm soil win of the watery main	64	7
Increasing store with loss and loss with store	64	8
When I have seen such interchange of state	64	9
Or state itself confounded to decay	64	10
Ruin hath taught me thus to ruminate	64	11
That Time will come and take my love away	64	12
This thought is as a death which cannot choose	64	13
But weep to have that which it fears to lose	64	14
Since brass nor stone nor earth nor boundless sea	65	1
But sad mortality o'ersways their power	65	2
How with this rage shall beauty hold a plea	65	3
Whose action is no stronger than a flower	65	4
O how shall summer's honey breath hold out	65	5
Against the wrackful siege of battering days	65	6
When rocks impregnable are not so stout	65	7
Nor gates of steel so strong but Time decays	65	8
O fearful meditation where alack	65	9
Shall Time's best jewel from Time's chest lie hid	65	10
Or what strong hand can hold his swift foot back	65	11
Or who his spoil of beauty can forbid	65	12
O none unless this miracle have might	65	13
That in black ink my love may still shine bright	65	14
Tired with all these for restful death I cry	66	1
As to behold desert a beggar born	66	2
And needy nothing trimm'd in jollity	66	3
And purest faith unhappily forsworn	66	4
And gilded honour shamefully misplac'd	66	5
And maiden virtue rudely strumpeted	66	6
And right perfection wrongfully disgrac'd	66	7
And strength by limping sway disabled	66	8
And art made tongue-tied by authority	66	9
And folly--doctor-like--controlling skill	66	10
And simple truth miscall'd simplicity	66	11
And captive good attending captain ill	66	12
Tir'd with all these from these would I be gone	66	13
Save that to die I leave my love alone	66	14
Ah wherefore with infection should he live	67	1
And with his presence grace impiety	67	2
That sin by him advantage should achieve	67	3
And lace itself with his society	67	4
Why should false painting imitate his cheek	67	5
And steel dead seeming of his living hue	67	6
Why should poor beauty indirectly seek	67	7
Roses of shadow since his rose is true	67	8
Why should he live now Nature bankrupt is	67	9
Beggar'd of blood to blush through lively veins	67	10
For she hath no exchequer now but his	67	11
And proud of many lives upon his gains	67	12
O him she stores to show what wealth she had	67	13
In days long since before these last so bad	67	14
Thus is his cheek the map of days outworn	68	1
When beauty lived and died as flowers do now	68	2
Before these bastard signs of fair were born	68	3
Or durst inhabit on a living brow	68	4
Before the golden tresses of the dead	68	5
The right of sepulchres were shorn away	68	6
To live a second life on second head	68	7
Ere beauty's dead fleece made another gay	68	8
In him those holy antique hours are seen	68	9
Without all ornament itself and true	68	10
Making no summer of another's green	68	11
Robbing no old to dress his beauty new	68	12
And him as for a map doth Nature store	68	13
To show false Art what beauty was of yore	68	14
Those parts of thee that the world's eye doth view	69	1
Want nothing that the thought of hearts can mend	69	2
All tongues--the voice of souls--give thee that due	69	3
Uttering bare truth even so as foes commend	69	4
Thy outward thus with outward praise is crown'd	69	5
But those same tongues that give thee so thine own	69	6
In other accents do this praise confound	69	7
By seeing farther than the eye hath shown	69	8
They look into the beauty of thy mind	69	9
And that in guess they measure by thy deeds	69	10
Then--churls--their thoughts although their eyes were kind	69	11
To thy fair flower add the rank smell of weeds	69	12
But why thy odour matcheth not thy show	69	13
The soil is this that thou dost common grow	69	14
That thou art blam'd shall not be thy defect	70	1
For slander's mark was ever yet the fair	70	2
The ornament of beauty is suspect	70	3
A crow that flies in heaven's sweetest air	70	4
So thou be good slander doth but approve	70	5
Thy worth the greater being woo'd of time	70	6
For canker vice the sweetest buds doth love	70	7
And thou present'st a pure unstained prime	70	8
Thou hast passed by the ambush of young days	70	9
Either not assail'd or victor being charg'd	70	10
Yet this thy praise cannot be so thy praise	70	11
To tie up envy evermore enlarg'd	70	12
If some suspect of ill mask'd not thy show	70	13
Then thou alone kingdoms of hearts shouldst owe	70	14
No longer mourn for me when I am dead	71	1
Than you shall hear the surly sullen bell	71	2
Give warning to the world that I am fled	71	3
From this vile world with vilest worms to dwell	71	4
Nay if you read this line remember not	71	5
The hand that writ it for I love you so	71	6
That I in your sweet thoughts would be forgot	71	7
If thinking on me then should make you woe	71	8
O if,--I say you look upon this verse	71	9
When I perhaps compounded am with clay	71	10
Do not so much as my poor name rehearse	71	11
But let your love even with my life decay	71	12
Lest the wise world should look into your moan	71	13
And mock you with me after I am gone	71	14
O lest the world should task you to recite	72	1
What merit lived in me that you should love	72	2
After my death,--dear love forget me quite	72	3
For you in me can nothing worthy prove	72	4
Unless you would devise some virtuous lie	72	5
To do more for me than mine own desert	72	6
And hang more praise upon deceased I	72	7
Than niggard truth would willingly impart	72	8
O lest your true love may seem false in this	72	9
That you for love speak well of me untrue	72	10
My name be buried where my body is	72	11
And live no more to shame nor me nor you	72	12
For I am shamed by that which I bring forth	72	13
And so should you to love things nothing worth	72	14
That time of year thou mayst in me behold	73	1
When yellow leaves or none or few do hang	73	2
Upon those boughs which shake against the cold	73	3
Bare ruin'd choirs where late the sweet birds sang	73	4
In me thou see'st the twilight of such day	73	5
As after sunset fadeth in the west	73	6
Which by and by black night doth take away	73	7
Death's second self that seals up all in rest	73	8
In me thou see'st the glowing of such fire	73	9
That on the ashes of his youth doth lie	73	10
As the death-bed whereon it must expire	73	11
Consum'd with that which it was nourish'd by	73	12
This thou perceiv'st which makes thy love more strong	73	13
To love that well which thou must leave ere long	73	14
But be contented when that fell arrest	74	1
Without all bail shall carry me away	74	2
My life hath in this line some interest	74	3
Which for memorial still with thee shall stay	74	4
When thou reviewest this thou dost review	74	5
The very part was consecrate to thee	74	6
The earth can have but earth which is his due	74	7
My spirit is thine the better part of me	74	8
So then thou hast but lost the dregs of life	74	9
The prey of worms my body being dead	74	10
The coward conquest of a wretch's knife	74	11
Too base of thee to be remembered	74	12
The worth of that is that which it contains	74	13
And that is this and this with thee remains	74	14
So are you to my thoughts as food to life	75	1
Or as sweet-season'd showers are to the ground	75	2
And for the peace of you I hold such strife	75	3
As twixt a miser and his wealth is found	75	4
Now proud as an enjoyer and anon	75	5
Doubting the filching age will steal his treasure	75	6
Now counting best to be with you alone	75	7
Then better'd that the world may see my pleasure	75	8
Sometime all full with feasting on your sight	75	9
And by and by clean starved for a look	75	10
Possessing or pursuing no delight	75	11
Save what is had or must from you be took	75	12
Thus do I pine and surfeit day by day	75	13
Or gluttoning on all or all away	75	14
Why is my verse so barren of new pride	76	1
So far from variation or quick change	76	2
Why with the time do I not glance aside	76	3
To new-found methods and to compounds strange	76	4
Why write I still all one ever the same	76	5
And keep invention in a noted weed	76	6
That every word doth almost tell my name	76	7
Showing their birth and where they did proceed	76	8
O know sweet love I always write of you	76	9
And you and love are still my argument	76	10
So all my best is dressing old words new	76	11
Spending again what is already spent	76	12
For as the sun is daily new and old	76	13
So is my love still telling what is told	76	14
Thy glass will show thee how thy beauties wear	77	1
Thy dial how thy precious minutes waste	77	2
These vacant leaves thy mind's imprint will bear	77	3
And of this book this learning mayst thou taste	77	4
The wrinkles which thy glass will truly show	77	5
Of mouthed graves will give thee memory	77	6
Thou by thy dial's shady stealth mayst know	77	7
Time's thievish progress to eternity	77	8
Look what thy memory cannot contain	77	9
Commit to these waste blanks and thou shalt find	77	10
Those children nursed deliver'd from thy brain	77	11
To take a new acquaintance of thy mind	77	12
These offices so oft as thou wilt look	77	13
Shall profit thee and much enrich thy book	77	14
So oft have I invoked thee for my Muse	78	1
And found such fair assistance in my verse	78	2
As every alien pen hath got my use	78	3
And under thee their poesy disperse	78	4
Thine eyes that taught the dumb on high to sing	78	5
And heavy ignorance aloft to fly	78	6
Have added feathers to the learned's wing	78	7
And given grace a double majesty	78	8
Yet be most proud of that which I compile	78	9
Whose influence is thine and born of thee	78	10
In others works thou dost but mend the style	78	11
And arts with thy sweet graces graced be	78	12
But thou art all my art and dost advance	78	13
As high as learning my rude ignorance	78	14
Whilst I alone did call upon thy aid	79	1
My verse alone had all thy gentle grace	79	2
But now my gracious numbers are decay'd	79	3
And my sick Muse doth give an other place	79	4
I grant sweet love thy lovely argument	79	5
Deserves the travail of a worthier pen	79	6
Yet what of thee thy poet doth invent	79	7
He robs thee of and pays it thee again	79	8
He lends thee virtue and he stole that word	79	9
From thy behaviour beauty doth he give	79	10
And found it in thy cheek he can afford	79	11
No praise to thee but what in thee doth live	79	12
Then thank him not for that which he doth say	79	13
Since what he owes thee thou thyself dost pay	79	14
O how I faint when I of you do write	80	1
Knowing a better spirit doth use your name	80	2
And in the praise thereof spends all his might	80	3
To make me tongue-tied speaking of your fame	80	4
But since your worth--wide as the ocean is	80	5
The humble as the proudest sail doth bear	80	6
My saucy bark inferior far to his	80	7
On your broad main doth wilfully appear	80	8
Your shallowest help will hold me up afloat	80	9
Whilst he upon your soundless deep doth ride	80	10
Or being wrack'd I am a worthless boat	80	11
He of tall building and of goodly pride	80	12
Then if he thrive and I be cast away	80	13
The worst was this,--my love was my decay	80	14
Or I shall live your epitaph to make	81	1
Or you survive when I in earth am rotten	81	2
From hence your memory death cannot take	81	3
Although in me each part will be forgotten	81	4
Your name from hence immortal life shall have	81	5
Though I once gone to all the world must die	81	6
The earth can yield me but a common grave	81	7
When you entombed in men's eyes shall lie	81	8
Your monument shall be my gentle verse	81	9
Which eyes not yet created shall o'er-read	81	10
And tongues to be your being shall rehearse	81	11
When all the breathers of this world are dead	81	12
You still shall live,--such virtue hath my pen	81	13
Where breath most breathes even in the mouths of men	81	14
I grant thou wert not married to my Muse	82	1
And therefore mayst without attaint o'erlook	82	2
The dedicated words which writers use	82	3
Of their fair subject blessing every book	82	4
Thou art as fair in knowledge as in hue	82	5
Finding thy worth a limit past my praise	82	6
And therefore art enforced to seek anew	82	7
Some fresher stamp of the time-bettering days	82	8
And do so love yet when they have devis'd	82	9
What strained touches rhetoric can lend	82	10
Thou truly fair wert truly sympathiz'd	82	11
In true plain words by thy true-telling friend	82	12
And their gross painting might be better us'd	82	13
Where cheeks need blood in thee it is abus'd	82	14
I never saw that you did painting need	83	1
And therefore to your fair no painting set	83	2
I found or thought I found you did exceed	83	3
That barren tender of a poet's debt	83	4
And therefore have I slept in your report	83	5
That you yourself being extant well might show	83	6
How far a modern quill doth come too short	83	7
Speaking of worth what worth in you doth grow	83	8
This silence for my sin you did impute	83	9
Which shall be most my glory being dumb	83	10
For I impair not beauty being mute	83	11
When others would give life and bring a tomb	83	12
There lives more life in one of your fair eyes	83	13
Than both your poets can in praise devise	83	14
Who is it that says most which can say more	84	1
Than this rich praise,--that you alone are you	84	2
In whose confine immured is the store	84	3
Which should example where your equal grew	84	4
Lean penury within that pen doth dwell	84	5
That to his subject lends not some small glory	84	6
But he that writes of you if he can tell	84	7
That you are you so dignifies his story	84	8
Let him but copy what in you is writ	84	9
Not making worse what nature made so clear	84	10
And such a counterpart shall fame his wit	84	11
Making his style admired every where	84	12
You to your beauteous blessings add a curse	84	13
Being fond on praise which makes your praises worse	84	14
My tongue-tied Muse in manners holds her still	85	1
While comments of your praise richly compil'd	85	2
Reserve their character with golden quill	85	3
And precious phrase by all the Muses fil'd	85	4
I think good thoughts whilst others write good words	85	5
And like unlettered clerk still cry Amen	85	6
To every hymn that able spirit affords	85	7
In polish'd form of well-refined pen	85	8
Hearing you praised I say tis so tis true	85	9
And to the most of praise add something more	85	10
But that is in my thought whose love to you	85	11
Though words come hindmost holds his rank before	85	12
Then others for the breath of words respect	85	13
Me for my dumb thoughts speaking in effect	85	14
Was it the proud full sail of his great verse	86	1
Bound for the prize of all too precious you	86	2
That did my ripe thoughts in my brain inhearse	86	3
Making their tomb the womb wherein they grew	86	4
Was it his spirit by spirits taught to write	86	5
Above a mortal pitch that struck me dead	86	6
No neither he nor his compeers by night	86	7
Giving him aid my verse astonished	86	8
He nor that affable familiar ghost	86	9
Which nightly gulls him with intelligence	86	10
As victors of my silence cannot boast	86	11
I was not sick of any fear from thence	86	12
But when your countenance fill'd up his line	86	13
Then lacked I matter that enfeebled mine	86	14
Farewell thou art too dear for my possessing	87	1
And like enough thou know'st thy estimate	87	2
The charter of thy worth gives thee releasing	87	3
My bonds in thee are all determinate	87	4
For how do I hold thee but by thy granting	87	5
And for that riches where is my deserving	87	6
The cause of this fair gift in me is wanting	87	7
And so my patent back again is swerving	87	8
Thy self thou gav'st thy own worth then not knowing	87	9
Or me to whom thou gav'st it else mistaking	87	10
So thy great gift upon misprision growing	87	11
Comes home again on better judgement making	87	12
Thus have I had thee as a dream doth flatter	87	13
In sleep a king but waking no such matter	87	14
When thou shalt be dispos'd to set me light	88	1
And place my merit in the eye of scorn	88	2
Upon thy side against myself I'll fight	88	3
And prove thee virtuous though thou art forsworn	88	4
With mine own weakness being best acquainted	88	5
Upon thy part I can set down a story	88	6
Of faults conceal'd wherein I am attainted	88	7
That thou in losing me shalt win much glory	88	8
And I by this will be a gainer too	88	9
For bending all my loving thoughts on thee	88	10
The injuries that to myself I do	88	11
Doing thee vantage double-vantage me	88	12
Such is my love to thee I so belong	88	13
That for thy right myself will bear all wrong	88	14
Say that thou didst forsake me for some fault	89	1
And I will comment upon that offence	89	2
Speak of my lameness and I straight will halt	89	3
Against thy reasons making no defence	89	4
Thou canst not love disgrace me half so ill	89	5
To set a form upon desired change	89	6
As I'll myself disgrace knowing thy will	89	7
I will acquaintance strangle and look strange	89	8
Be absent from thy walks and in my tongue	89	9
Thy sweet beloved name no more shall dwell	89	10
Lest I too much profane should do it wrong	89	11
And haply of our old acquaintance tell	89	12
For thee against my self I'll vow debate	89	13
For I must ne'er love him whom thou dost hate	89	14
Then hate me when thou wilt if ever now	90	1
Now while the world is bent my deeds to cross	90	2
Join with the spite of fortune make me bow	90	3
And do not drop in for an after-loss	90	4
Ah do not when my heart hath scap'd this sorrow	90	5
Come in the rearward of a conquer'd woe	90	6
Give not a windy night a rainy morrow	90	7
To linger out a purpos'd overthrow	90	8
If thou wilt leave me do not leave me last	90	9
When other petty griefs have done their spite	90	10
But in the onset come so shall I taste	90	11
At first the very worst of fortune's might	90	12
And other strains of woe which now seem woe	90	13
Compar'd with loss of thee will not seem so	90	14
Some glory in their birth some in their skill	91	1
Some in their wealth some in their body's force	91	2
Some in their garments though new-fangled ill	91	3
Some in their hawks and hounds some in their horse	91	4
And every humour hath his adjunct pleasure	91	5
Wherein it finds a joy above the rest	91	6
But these particulars are not my measure	91	7
All these I better in one general best	91	8
Thy love is better than high birth to me	91	9
Richer than wealth prouder than garments costs	91	10
Of more delight than hawks and horses be	91	11
And having thee of all men's pride I boast	91	12
Wretched in this alone that thou mayst take	91	13
All this away and me most wretchcd make	91	14
But do thy worst to steal thyself away	92	1
For term of life thou art assured mine	92	2
And life no longer than thy love will stay	92	3
For it depends upon that love of thine	92	4
Then need I not to fear the worst of wrongs	92	5
When in the least of them my life hath end	92	6
I see a better state to me belongs	92	7
Than that which on thy humour doth depend	92	8
Thou canst not vex me with inconstant mind	92	9
Since that my life on thy revolt doth lie	92	10
O what a happy title do I find	92	11
Happy to have thy love happy to die	92	12
But what's so blessed-fair that fears no blot	92	13
Thou mayst be false and yet I know it not	92	14
So shall I live supposing thou art true	93	1
Like a deceived husband so love's face	93	2
May still seem love to me though alter'd new	93	3
Thy looks with me thy heart in other place	93	4
For there can live no hatred in thine eye	93	5
Therefore in that I cannot know thy change	93	6
In many's looks the false heart's history	93	7
Is writ in moods and frowns and wrinkles strange	93	8
But heaven in thy creation did decree	93	9
That in thy face sweet love should ever dwell	93	10
Whate'er thy thoughts or thy heart's workings be	93	11
Thy looks should nothing thence but sweetness tell	93	12
How like Eve's apple doth thy beauty grow	93	13
If thy sweet virtue answer not thy show	93	14
They that have power to hurt and will do none	94	1
That do not do the thing they most do show	94	2
Who moving others are themselves as stone	94	3
Unmoved cold and to temptation slow	94	4
They rightly do inherit heaven's graces	94	5
And husband nature's riches from expense	94	6
They are the lords and owners of their faces	94	7
Others but stewards of their excellence	94	8
The summer's flower is to the summer sweet	94	9
Though to itself it only live and die	94	10
But if that flower with base infection meet	94	11
The basest weed outbraves his dignity	94	12
For sweetest things turn sourest by their deeds	94	13
Lilies that fester smell far worse than weeds	94	14
How sweet and lovely dost thou make the shame	95	1
Which like a canker in the fragrant rose	95	2
Doth spot the beauty of thy budding name	95	3
O in what sweets dost thou thy sins enclose	95	4
That tongue that tells the story of thy days	95	5
Making lascivious comments on thy sport	95	6
Cannot dispraise but in a kind of praise	95	7
Naming thy name blesses an ill report	95	8
O what a mansion have those vices got	95	9
Which for their habitation chose out thee	95	10
Where beauty's veil doth cover every blot	95	11
And all things turns to fair that eyes can see	95	12
Take heed dear heart of this large privilege	95	13
The hardest knife ill-us'd doth lose his edge	95	14
Some say thy fault is youth some wantonness	96	1
Some say thy grace is youth and gentle sport	96	2
Both grace and faults are lov'd of more and less	96	3
Thou mak'st faults graces that to thee resort	96	4
As on the finger of a throned queen	96	5
The basest jewel will be well esteem'd	96	6
So are those errors that in thee are seen	96	7
To truths translated and for true things deem'd	96	8
How many lambs might the stern wolf betray	96	9
If like a lamb he could his looks translate	96	10
How many gazers mightst thou lead away	96	11
if thou wouldst use the strength of all thy state	96	12
But do not so I love thee in such sort	96	13
As thou being mine mine is thy good report	96	14
How like a winter hath my absence been	97	1
From thee the pleasure of the fleeting year	97	2
What freezings have I felt what dark days seen	97	3
What old December's bareness everywhere	97	4
And yet this time removed was summer's time	97	5
The teeming autumn big with rich increase	97	6
Bearing the wanton burden of the prime	97	7
Like widow'd wombs after their lords decease	97	8
Yet this abundant issue seem'd to me	97	9
But hope of orphans and unfather'd fruit	97	10
For summer and his pleasures wait on thee	97	11
And thou away the very birds are mute	97	12
Or if they sing tis with so dull a cheer	97	13
That leaves look pale dreading the winter's near	97	14
From you have I been absent in the spring	98	1
When proud-pied April dress'd in all his trim	98	2
Hath put a spirit of youth in every thing	98	3
That heavy Saturn laugh'd and leap'd with him	98	4
Yet nor the lays of birds nor the sweet smell	98	5
Of different flowers in odour and in hue	98	6
Could make me any summer's story tell	98	7
Or from their proud lap pluck them where they grew	98	8
Nor did I wonder at the lily's white	98	9
Nor praise the deep vermilion in the rose	98	10
They were but sweet but figures of delight	98	11
Drawn after you you pattern of all those	98	12
Yet seem'd it winter still and you away	98	13
As with your shadow I with these did play	98	14
The forward violet thus did I chide	99	1
Sweet thief whence didst thou steal thy sweet that smells	99	2
If not from my love's breath The purple pride	99	3
Which on thy soft cheek for complexion dwells	99	4
In my love's veins thou hast too grossly dy'd	99	5
The lily I condemned for thy hand	99	6
And buds of marjoram had stol'n thy hair	99	7
The roses fearfully on thorns did stand	99	8
One blushing shame another white despair	99	9
A third nor red nor white had stol'n of both	99	10
And to his robbery had annex'd thy breath	99	11
But for his theft in pride of all his growth	99	12
A vengeful canker eat him up to death	99	13
More flowers I noted yet I none could see	99	14
But sweet or colour it had stol'n from thee	99	15
Where art thou Muse that thou forget'st so long	100	1
To speak of that which gives thee all thy might	100	2
Spend'st thou thy fury on some worthless song	100	3
Darkening thy power to lend base subjects light	100	4
Return forgetful Muse and straight redeem	100	5
In gentle numbers time so idly spent	100	6
Sing to the ear that doth thy lays esteem	100	7
And gives thy pen both skill and argument	100	8
Rise resty Muse my love's sweet face survey	100	9
If Time have any wrinkle graven there	100	10
If any be a satire to decay	100	11
And make time's spoils despised every where	100	12
Give my love fame faster than Time wastes life	100	13
So thou prevent'st his scythe and crooked knife	100	14
O truant Muse what shall be thy amends	101	1
For thy neglect of truth in beauty dy'd	101	2
Both truth and beauty on my love depends	101	3
So dost thou too and therein dignified	101	4
Make answer Muse wilt thou not haply say	101	5
Truth needs no colour with his colour fix'd	101	6
Beauty no pencil beauty's truth to lay	101	7
But best is best if never intermix'd	101	8
Because he needs no praise wilt thou be dumb	101	9
Excuse not silence so for't lies in thee	101	10
To make him much outlive a gilded tomb	101	11
And to be prais'd of ages yet to be	101	12
Then do thy office Muse I teach thee how	101	13
To make him seem long hence as he shows now	101	14
My love is strengthen'd though more weak in seeming	102	1
I love not less though less the show appear	102	2
That love is merchandiz'd whose rich esteeming	102	3
The owner's tongue doth publish every where	102	4
Our love was new and then but in the spring	102	5
When I was wont to greet it with my lays	102	6
As Philomel in summer's front doth sing	102	7
And stops her pipe in growth of riper days	102	8
Not that the summer is less pleasant now	102	9
Than when her mournful hymns did hush the night	102	10
But that wild music burthens every bough	102	11
And sweets grown common lose their dear delight	102	12
Therefore like her I sometime hold my tongue	102	13
Because I would not dull you with my song	102	14
Alack what poverty my Muse brings forth	103	1
That having such a scope to show her pride	103	2
The argument all bare is of more worth	103	3
Than when it hath my added praise beside	103	4
O blame me not if I no more can write	103	5
Look in your glass and there appears a face	103	6
That over-goes my blunt invention quite	103	7
Dulling my lines and doing me disgrace	103	8
Were it not sinful then striving to mend	103	9
To mar the subject that before was well	103	10
For to no other pass my verses tend	103	11
Than of your graces and your gifts to tell	103	12
And more much more than in my verse can sit	103	13
Your own glass shows you when you look in it	103	14
To me fair friend you never can be old	104	1
For as you were when first your eye I ey'd	104	2
Such seems your beauty still Three winters cold	104	3
Have from the forests shook three summers pride	104	4
Three beauteous springs to yellow autumn turn'd	104	5
In process of the seasons have I seen	104	6
Three April perfumes in three hot Junes burn'd	104	7
Since first I saw you fresh which yet are green	104	8
Ah yet doth beauty like a dial-hand	104	9
Steal from his figure and no pace perceiv'd	104	10
So your sweet hue which methinks still doth stand	104	11
Hath motion and mine eye may be deceiv'd	104	12
For fear of which hear this thou age unbred	104	13
Ere you were born was beauty's summer dead	104	14
Let not my love be call'd idolatry	105	1
Nor my beloved as an idol show	105	2
Since all alike my songs and praises be	105	3
To one of one still such and ever so	105	4
Kind is my love to-day to-morrow kind	105	5
Still constant in a wondrous excellence	105	6
Therefore my verse to constancy confin'd	105	7
One thing expressing leaves out difference	105	8
Fair kind and true is all my argument	105	9
Fair kind and true varying to other words	105	10
And in this change is my invention spent	105	11
Three themes in one which wondrous scope affords	105	12
Fair kind and true have often liv'd alone	105	13
Which three till now never kept seat in one	105	14
When in the chronicle of wasted time	106	1
I see descriptions of the fairest wights	106	2
And beauty making beautiful old rime	106	3
In praise of ladies dead and lovely knights	106	4
Then in the blazon of sweet beauty's best	106	5
Of hand of foot of lip of eye of brow	106	6
I see their antique pen would have express'd	106	7
Even such a beauty as you master now	106	8
So all their praises are but prophecies	106	9
Of this our time all you prefiguring	106	10
And for they looked but with divining eyes	106	11
They had not skill enough your worth to sing	106	12
For we which now behold these present days	106	13
Have eyes to wonder but lack tongues to praise	106	14
Not mine own fears nor the prophetic soul	107	1
Of the wide world dreaming on things to come	107	2
Can yet the lease of my true love control	107	3
Supposed as forfeit to a confin'd doom	107	4
The mortal moon hath her eclipse endur'd	107	5
And the sad augurs mock their own presage	107	6
Incertainties now crown themselves assur'd	107	7
And peace proclaims olives of endless age	107	8
Now with the drops of this most balmy time	107	9
